"","site","plotid","pre_post_fire","year","status","BA_m2_ha_plot","n_trees_totalPlot","n_trees_acre","n_trees_ha"
"1","antelope","antelope01","prefire","2020","LIVE",29.4023112205424,22,220,543.631
"2","antelope","antelope02","prefire","2020","LIVE",30.2570403152324,12,120,296.526
"3","antelope","antelope03","prefire","2020","LIVE",6.83183736749971,3,30,74.1315
"4","antelope","antelope04","prefire","2020","LIVE",7.2944752909256,12,120,296.526
"5","antelope","antelope05","prefire","2020","LIVE",7.75237776451023,3,30,74.1315
"6","antelope","antelope06","prefire","2020","DEAD",10.1168616190595,1,10,24.7105
"7","antelope","antelope06","prefire","2020","LIVE",2.3774287112875,1,10,24.7105
"8","antelope","antelope07","prefire","2020","LIVE",8.94122797322319,14,140,345.947
"9","antelope","antelope08","prefire","2020","LIVE",26.9952906055666,6,60,148.263
"10","antelope","antelope09","prefire","2020","LIVE",19.3375975784049,17,170,420.0785
"11","antelope","antelope10","prefire","2020","LIVE",24.410273552621,2,20,49.421
"12","antelope","antelope11","prefire","2020","DEAD",7.5084826901041,1,10,24.7105
"13","antelope","antelope11","prefire","2020","LIVE",32.7575130920674,9,90,222.3945
"14","antelope","antelope12","prefire","2020","LIVE",32.3227153440402,23,230,568.3415
"15","antelope","antelope13","prefire","2020","LIVE",19.9064920095393,5,50,123.5525
"16","antelope","antelope14","prefire","2020","LIVE",13.3703679585611,3,30,74.1315
"17","antelope","antelope15","prefire","2020","LIVE",26.5676008841966,3,30,74.1315
"18","antelope","antelope16","prefire","2020","DEAD",1.10858045238737,1,10,24.7105
"19","antelope","antelope16","prefire","2020","LIVE",6.27627594472978,3,30,74.1315
"20","antelope","antelope17","prefire","2020","LIVE",3.423497344254,1,10,24.7105
"21","antelope","antelope18","prefire","2020","LIVE",5.91304365280769,2,20,49.421
"22","antelope","antelope19","prefire","2020","LIVE",17.4796515962197,4,40,98.842
"23","bearmountain","bm1","postfire","2021","DEAD",7.06389381730268,2,20,49.421
"24","bearmountain","bm1","postfire","2021","LIVE",18.255527882096,6,60,148.263
"25","bearmountain","bm1","prefire","2019","DEAD",7.00470069428695,3,30,74.1315
"26","bearmountain","bm1","prefire","2019","LIVE",17.4957792962938,6,60,148.263
"27","bearmountain","bm10","postfire","2021","LIVE",33.381641499629,7,70,172.9735
"28","bearmountain","bm10","prefire","2019","DEAD",0.143538471417815,1,10,24.7105
"29","bearmountain","bm10","prefire","2019","LIVE",33.3199447986234,7,70,172.9735
"30","bearmountain","bm11","postfire","2021","DEAD",2.43959119424467,4,40,98.842
