site,plotid,year,pre_post_fire,postTime,fuelType,mass_tonsHA
antelope,antelope01,2020,prefire,"",mass_1hr,0.050523045
antelope,antelope01,2020,prefire,"",mass_10hr,0.2184565625
antelope,antelope01,2020,prefire,"",mass_100hr,0
antelope,antelope01,2020,prefire,"",mass_cwd_sound,0
antelope,antelope01,2020,prefire,"",mass_cwd_rotten,0
antelope,antelope01,2020,prefire,"",total_fine,0.2689796075
antelope,antelope01,2020,prefire,"",total_cwd,0
antelope,antelope01,2020,prefire,"",total_fuel,41.51362458875
antelope,antelope01,2020,prefire,"",duff_load,38.54970376875
antelope,antelope01,2020,prefire,"",litter_load,2.6949412125
antelope,antelope01,2020,prefire,"",litter_depth_cm,1.6875
antelope,antelope01,2020,prefire,"",duff_depth_cm,5.0625
antelope,antelope01,2020,prefire,"",fuel_depth_cm,5.625
antelope,antelope02,2020,prefire,"",mass_1hr,0.10104609
antelope,antelope02,2020,prefire,"",mass_10hr,0.54614140625
antelope,antelope02,2020,prefire,"",mass_100hr,0
antelope,antelope02,2020,prefire,"",mass_cwd_sound,0
antelope,antelope02,2020,prefire,"",mass_cwd_rotten,8.98074896017699
antelope,antelope02,2020,prefire,"",total_fine,0.64718749625
antelope,antelope02,2020,prefire,"",total_cwd,8.98074896017699
antelope,antelope02,2020,prefire,"",total_fuel,51.129055307052
antelope,antelope02,2020,prefire,"",duff_load,38.406927088125
antelope,antelope02,2020,prefire,"",litter_load,3.0941917625
antelope,antelope02,2020,prefire,"",litter_depth_cm,1.9375
antelope,antelope02,2020,prefire,"",duff_depth_cm,5.04375
antelope,antelope02,2020,prefire,"",fuel_depth_cm,13.2
antelope,antelope03,2020,prefire,"",mass_1hr,0.21472294125
antelope,antelope03,2020,prefire,"",mass_10hr,1.0922828125
antelope,antelope03,2020,prefire,"",mass_100hr,5.0909287
antelope,antelope03,2020,prefire,"",mass_cwd_sound,1.44326002051991
antelope,antelope03,2020,prefire,"",mass_cwd_rotten,0
antelope,antelope03,2020,prefire,"",total_fine,6.39793445375
antelope,antelope03,2020,prefire,"",total_cwd,1.44326002051991
antelope,antelope03,2020,prefire,"",total_fuel,17.9356535617699
antelope,antelope03,2020,prefire,"",duff_load,8.756969745
antelope,antelope03,2020,prefire,"",litter_load,1.3374893425
antelope,antelope03,2020,prefire,"",litter_depth_cm,0.8375
antelope,antelope03,2020,prefire,"",duff_depth_cm,1.15
antelope,antelope03,2020,prefire,"",fuel_depth_cm,1.7875
antelope,antelope04,2020,prefire,"",mass_1hr,0.0119108540094094
antelope,antelope04,2020,prefire,"",mass_10hr,0.117515555698657
antelope,antelope04,2020,prefire,"",mass_100hr,0.681636434020522
antelope,antelope04,2020,prefire,"",mass_cwd_sound,0
antelope,antelope04,2020,prefire,"",mass_cwd_rotten,0
antelope,antelope04,2020,prefire,"",total_fine,0.811062843728589
antelope,antelope04,2020,prefire,"",total_cwd,0
antelope,antelope04,2020,prefire,"",total_fuel,55.5053879056531
antelope,antelope04,2020,prefire,"",duff_load,50.0164271556073
antelope,antelope04,2020,prefire,"",litter_load,4.67789790631726
antelope,antelope04,2020,prefire,"",litter_depth_cm,2.0625
antelope,antelope04,2020,prefire,"",duff_depth_cm,5.75
antelope,antelope04,2020,prefire,"",fuel_depth_cm,17.6375
antelope,antelope05,2020,prefire,"",mass_1hr,0.1768306575
antelope,antelope05,2020,prefire,"",mass_10hr,0.6553696875
antelope,antelope05,2020,prefire,"",mass_100hr,0
antelope,antelope05,2020,prefire,"",mass_cwd_sound,1.00808254928097
antelope,antelope05,2020,prefire,"",mass_cwd_rotten,0
antelope,antelope05,2020,prefire,"",total_fine,0.832200345
antelope,antelope05,2020,prefire,"",total_cwd,1.00808254928097
antelope,antelope05,2020,prefire,"",total_fuel,25.140790341781
antelope,antelope05,2020,prefire,"",duff_load,22.08279327
antelope,antelope05,2020,prefire,"",litter_load,1.2177141775
antelope,antelope05,2020,prefire,"",litter_depth_cm,0.7625
antelope,antelope05,2020,prefire,"",duff_depth_cm,2.9
antelope,antelope05,2020,prefire,"",fuel_depth_cm,1.1875
antelope,antelope06,2020,prefire,"",mass_1hr,0.01263076125
antelope,antelope06,2020,prefire,"",mass_10hr,0.6553696875
antelope,antelope06,2020,prefire,"",mass_100hr,0.763639305
antelope,antelope06,2020,prefire,"",mass_cwd_sound,2.10515417588496
antelope,antelope06,2020,prefire,"",mass_cwd_rotten,0
antelope,antelope06,2020,prefire,"",total_fine,1.43163975375
antelope,antelope06,2020,prefire,"",total_cwd,2.10515417588496
antelope,antelope06,2020,prefire,"",total_fuel,38.191574385885
antelope,antelope06,2020,prefire,"",duff_load,31.4108697375
antelope,antelope06,2020,prefire,"",litter_load,3.24391071875
antelope,antelope06,2020,prefire,"",litter_depth_cm,2.03125
antelope,antelope06,2020,prefire,"",duff_depth_cm,4.125
antelope,antelope06,2020,prefire,"",fuel_depth_cm,17.8625
antelope,antelope07,2020,prefire,"",mass_1hr,0.03789228375
antelope,antelope07,2020,prefire,"",mass_10hr,0.10922828125
antelope,antelope07,2020,prefire,"",mass_100hr,0
antelope,antelope07,2020,prefire,"",mass_cwd_sound,0
antelope,antelope07,2020,prefire,"",mass_cwd_rotten,0
antelope,antelope07,2020,prefire,"",total_fine,0.147120565
antelope,antelope07,2020,prefire,"",total_cwd,0
antelope,antelope07,2020,prefire,"",total_fuel,6.46949837375
antelope,antelope07,2020,prefire,"",duff_load,5.04477604875
antelope,antelope07,2020,prefire,"",litter_load,1.27760176
antelope,antelope07,2020,prefire,"",litter_depth_cm,0.8
antelope,antelope07,2020,prefire,"",duff_depth_cm,0.6625
antelope,antelope07,2020,prefire,"",fuel_depth_cm,1.9375
antelope,antelope08,2020,prefire,"",mass_1hr,0.0252615225
antelope,antelope08,2020,prefire,"",mass_10hr,1.20151109375
antelope,antelope08,2020,prefire,"",mass_100hr,2.290917915
antelope,antelope08,2020,prefire,"",mass_cwd_sound,0
antelope,antelope08,2020,prefire,"",mass_cwd_rotten,0
antelope,antelope08,2020,prefire,"",total_fine,3.51769053125
